,name,color,species,link
237,SPOOKS98,Green,Korbat,https://www.stuckpets.com/adopt/SPOOKS98
238,Spotty120,Green,Korbat,https://www.stuckpets.com/adopt/Spotty120
239,Starrired,Green,Korbat,https://www.stuckpets.com/adopt/Starrired
240,Sugar_Pie_Honey,Green,Korbat,https://www.stuckpets.com/adopt/Sugar_Pie_Honey
241,lopliz,Red,Korbat,https://www.stuckpets.com/adopt/lopliz
242,Lucifer0612,Red,Korbat,https://www.stuckpets.com/adopt/Lucifer0612
243,Lucifer432,Red,Korbat,https://www.stuckpets.com/adopt/Lucifer432
244,Midnight_Ryder,Red,Korbat,https://www.stuckpets.com/adopt/Midnight_Ryder
245,Rogermotte,Red,Korbat,https://www.stuckpets.com/adopt/Rogermotte
246,Ruby_My_heart,Red,Korbat,https://www.stuckpets.com/adopt/Ruby_My_heart
247,ruby_small,Red,Korbat,https://www.stuckpets.com/adopt/ruby_small
248,sissy_x3,Red,Korbat,https://www.stuckpets.com/adopt/sissy_x3
249,skye_13,Red,Korbat,https://www.stuckpets.com/adopt/skye_13
250,snoopy603,Red,Korbat,https://www.stuckpets.com/adopt/snoopy603
251,snowdrop_94,Red,Korbat,https://www.stuckpets.com/adopt/snowdrop_94
252,spark_new,Red,Korbat,https://www.stuckpets.com/adopt/spark_new
253,spiral_ryan,Red,Korbat,https://www.stuckpets.com/adopt/spiral_ryan
254,spooky_little_thing,Red,Korbat,https://www.stuckpets.com/adopt/spooky_little_thing
255,spotty777,Red,Korbat,https://www.stuckpets.com/adopt/spotty777
256,Sunday394,Red,Korbat,https://www.stuckpets.com/adopt/Sunday394
257,sunny_217,Red,Korbat,https://www.stuckpets.com/adopt/sunny_217
258,sweety_swift,Red,Korbat,https://www.stuckpets.com/adopt/sweety_swift
259,trix311,Red,Korbat,https://www.stuckpets.com/adopt/trix311
260,TWILIGHT_35,Red,Korbat,https://www.stuckpets.com/adopt/TWILIGHT_35
261,twizzler531,Red,Korbat,https://www.stuckpets.com/adopt/twizzler531
262,__Totoro___,Red,Korbat,https://www.stuckpets.com/adopt/__Totoro___
263,Starry_Korbat,Starry,Korbat,https://www.stuckpets.com/adopt/Starry_Korbat
264,cindycut,Yellow,Korbat,https://www.stuckpets.com/adopt/cindycut
265,Kris_Sugar,Yellow,Korbat,https://www.stuckpets.com/adopt/Kris_Sugar
266,Kylie_932,Yellow,Korbat,https://www.stuckpets.com/adopt/Kylie_932
267,bluenotex,Blue,Lenny,https://www.stuckpets.com/adopt/bluenotex
268,BrightBrightvale,Blue,Lenny,https://www.stuckpets.com/adopt/BrightBrightvale
269,Kris_man,Blue,Lenny,https://www.stuckpets.com/adopt/Kris_man
270,Luckyboy32,Blue,Lenny,https://www.stuckpets.com/adopt/Luckyboy32
271,ShenkuuMaster,Blue,Lenny,https://www.stuckpets.com/adopt/ShenkuuMaster
272,SpotlightJ,Blue,Lenny,https://www.stuckpets.com/adopt/SpotlightJ
273,spotyBird,Blue,Lenny,https://www.stuckpets.com/adopt/spotyBird
274,Stealthy___,Blue,Lenny,https://www.stuckpets.com/adopt/Stealthy___
275,sugar_sweet_rainbow,Blue,Lenny,https://www.stuckpets.com/adopt/sugar_sweet_rainbow
276,Cindylenny,Green,Lenny,https://www.stuckpets.com/adopt/Cindylenny
277,puffy697,Green,Lenny,https://www.stuckpets.com/adopt/puffy697
278,SNOOPY_lenny,Green,Lenny,https://www.stuckpets.com/adopt/SNOOPY_lenny
279,snowflake9171,Green,Lenny,https://www.stuckpets.com/adopt/snowflake9171
280,sophilenny,Green,Lenny,https://www.stuckpets.com/adopt/sophilenny
281,spikedobbs,Green,Lenny,https://www.stuckpets.com/adopt/spikedobbs
282,timmyjarv,Green,Lenny,https://www.stuckpets.com/adopt/timmyjarv
283,__mm__nn__mm__mm__,Green,Lenny,https://www.stuckpets.com/adopt/__mm__nn__mm__mm__
284,claw461,Red,Lenny,https://www.stuckpets.com/adopt/claw461
